tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,weighted_rating
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,3095411,9.146080237837726
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama",9.2,2157622,8.993631767247654
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,"Action,Crime,Drama",9.1,3070648,8.957406182595317
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,\N,201,"Adventure,Drama,Fantasy",9.0,2105398,8.806674868842554
tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,"Biography,Drama,History",9.0,1544238,8.74463900671304
tt0071562,movie,The Godfather Part II,The Godfather Part II,0,1974,\N,202,"Crime,Drama",9.0,1450272,8.730138630787605
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,"Adventure,Drama,Fantasy",8.9,2138660,8.718147852506785
tt1375666,movie,Inception,Inception,0,2010,\N,148,"Action,Adventure,Sci-Fi",8.8,2727559,8.661647742127267
tt0137523,movie,Fight Club,Fight Club,0,1999,\N,139,"Crime,Drama,Thriller",8.8,2511948,8.650666512512185
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,"Drama,Romance",8.8,2417287,8.645274810019512
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,\N,154,"Crime,Drama",8.8,2367189,8.642260708336968
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,"Crime,Drama",9.0,947127,8.612239465926608
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,\N,179,"Adventure,Drama,Fantasy",8.8,1899250,8.6071751165118
tt0816692,movie,Interstellar,Interstellar,0,2014,\N,169,"Adventure,Drama,Sci-Fi",8.7,2401968,8.552212381004946
tt0133093,movie,The Matrix,The Matrix,0,1999,\N,136,"Action,Sci-Fi",8.7,2185093,8.538799620976487
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,"Action,Adventure,Fantasy",8.7,1463998,8.469132952362418
tt0099685,movie,Goodfellas,GoodFellas,0,1990,\N,145,"Biography,Crime,Drama",8.7,1347295,8.451770893467355
tt0114369,movie,Se7en,Se7en,0,1995,\N,127,"Crime,Drama,Mystery",8.6,1946818,8.43045275184403
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,\N,178,"Adventure,Drama,Western",8.8,867176,8.421480953528508
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama,8.7,1130380,8.41143512805452
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,\N,118,"Crime,Drama,Horror",8.6,1660948,8.404470954252757
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,\N,169,"Drama,War",8.6,1591444,8.39690400128528
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,"Action,Adventure,Fantasy",8.6,1530557,8.389777035278772
tt0120689,movie,The Green Mile,The Green Mile,0,1999,\N,189,"Crime,Drama,Fantasy",8.6,1509809,8.38723278582184
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,\N,137,"Action,Adventure,Sci-Fi",8.6,1249788,8.349191625797966
tt1853728,movie,Django Unchained,Django Unchained,0,2012,\N,165,Western,8.5,1820338,8.329963171359587
tt0172495,movie,Gladiator,Gladiator,0,2000,\N,155,"Action,Adventure,Drama",8.5,1791640,8.327518631612909
tt0482571,movie,The Prestige,The Prestige,0,2006,\N,130,"Drama,Mystery,Sci-Fi",8.5,1538869,8.302510995411398
tt0407887,movie,The Departed,The Departed,0,2006,\N,151,"Crime,Drama,Thriller",8.5,1509913,8.299175514667
tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi",8.5,1400634,8.285503454416205
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,124,"Adventure,Animation,Family",8.6,929200,8.278269841065368
tt0110413,movie,Léon: The Professional,Léon,0,1994,\N,110,"Action,Crime,Drama",8.5,1318356,8.273914703342836
tt0120586,movie,American History X,American History X,0,1998,\N,119,"Crime,Drama",8.5,1244255,8.262351119679842
tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama",8.5,1221066,8.25848548040878
tt0114814,movie,The Usual Suspects,The Usual Suspects,0,1995,\N,106,"Crime,Drama,Mystery",8.5,1204864,8.255709096910682
tt0317248,movie,City of God,Cidade de Deus,0,2002,\N,130,"Crime,Drama",8.6,848370,8.25357096299103
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,"Action,Crime,Drama",8.4,1940152,8.248998997024906
tt2582802,movie,Whiplash,Whiplash,0,2014,\N,106,"Drama,Music",8.5,1098023,8.235671306234263
tt6751668,movie,Parasite,Gisaengchung,0,2019,\N,132,"Drama,Thriller",8.5,1097672,8.235600058170254
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,\N,116,"Comedy,Drama,Romance",8.6,789339,8.232994757811909
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,\N,153,"Adventure,Drama,War",8.4,1714906,8.231279014748763
tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi",8.5,1032270,8.221618585836026
tt1675434,movie,The Intouchables,Intouchables,0,2011,\N,112,"Comedy,Drama",8.5,993162,8.212528652583613
tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,"Biography,Drama,Music",8.5,982596,8.209970017481274
tt0209144,movie,Memento,Memento,0,2000,\N,113,"Drama,Mystery,Thriller",8.4,1397537,8.197855437371453
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,\N,181,"Action,Adventure,Sci-Fi",8.4,1386670,8.196474903836485
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,\N,149,"Action,Adventure,Sci-Fi",8.4,1316636,8.187104672989694
tt0910970,movie,WALL·E,WALL·E,0,2008,\N,98,"Adventure,Animation,Family",8.4,1279752,8.181814282594413
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,"Drama,Horror",8.4,1183916,8.166754246842403
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,"Action,Adventure",8.4,1086641,8.149181841155936
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Drama,Horror,Mystery",8.5,762525,8.143968406173219
tt7286456,movie,Joker,Joker,0,2019,\N,122,"Crime,Drama,Thriller",8.3,1638521,8.135383756086817
